,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2024-03-29,15309.933342524215,16143.488541650446,14779.506024035274,16034.415594528928,16871.001544401766
2024-04-05,15334.258560719107,16169.96818906274,14798.642219886926,16078.757416703591,17033.11322568903
2024-04-12,15063.441682407838,15886.638874539145,14534.35539063866,15834.29671725615,16425.44175598047
2024-04-19,15331.424327943188,16137.630741514844,14732.710953407717,16032.752783639033,16555.987292746115
2024-04-26,15576.01014144413,16346.252764462643,15001.222534082435,16146.182780489358,16606.625036044006
2024-05-03,16043.47508143179,16873.222199143773,15743.949761762908,16591.497958945645,17104.46528517643
2024-05-10,16248.400761804602,17018.284849643653,15875.810956741181,16713.610210407507,17384.624865795005
2024-05-17,15878.742035576095,16681.402267536356,15634.970579122599,16247.55876421367,17294.858706721836
2024-05-24,15754.376667486482,16472.2918501578,15366.94540523978,16081.4468981563,17184.69873655045
2024-05-31,16229.470880004465,16906.35971506785,15769.60772267021,16606.587943003775,17580.93474949185
2024-06-07,15912.9705859763,16691.05747782647,15652.416157082793,16417.835375800532,17837.09148740546
2024-06-14,15922.542996841079,16696.541316985345,15558.72944993671,16420.509690383493,17986.702439569406
2024-06-21,15986.809764600248,16822.213076066186,15715.98940470189,16609.76295114143,18023.94492506475
2024-06-28,15936.176404202037,16707.594732308782,15662.419401542436,16559.834274590812,18191.860737137053
2024-07-05,16164.236950789924,16823.876876062877,15731.484065344219,16678.49350736744,18357.459843597713
2024-07-12,15988.369736343731,16733.42003211144,15692.388426569132,16654.69271160856,18231.4446617559
2024-07-19,15751.31474587826,16594.184626070655,15419.929951373608,16542.385076549755,17761.35541293945
2024-07-26,16023.404569688715,16923.310951570384,15900.037876625434,17045.418204723635,17913.105813879985
2024-08-02,15754.130967320638,16627.055318911476,15437.48803708327,16982.117547553782,17505.36768735694
2024-08-09,15991.884492482282,16842.200209983224,15636.644417204157,17226.61451199129,18244.971831621744
2024-08-16,16206.264892860834,17008.030300169154,15751.736938532473,17329.936112049087,18348.88555948345
2024-08-23,16290.544536911564,17114.234739847554,15891.743941829285,17544.77322038926,18419.14728332266
2024-08-30,16255.467889155494,17126.342298403804,15878.913707570347,17557.786718744504,18130.830796602597
2024-09-06,16293.912583139258,17208.43710149505,15990.110972106666,17782.160566844424,18443.561320662433
2024-09-13,16440.81094986786,17327.93151421345,16190.47951651036,17885.91250634074,18835.791535244196
2024-09-20,16792.874513300456,17623.592814350504,16516.027271744377,18094.35101090639,18937.246339801015
2024-09-27,16579.621725026504,17435.84419689722,16435.051935203745,17845.579570550177,18789.003975293774
2024-10-04,16475.848018152454,17363.902631303015,16395.85032329068,17821.34008287646,19063.978793487004
2024-10-11,16624.49087045716,17594.910445757418,16560.499341182345,18018.471212366483,19269.80077362311
2024-10-18,16572.63248050065,17542.414392699488,16632.77622474757,18041.548327912922,19166.892875244044
2024-10-25,16317.012955068094,17342.376709427284,16446.525518152208,17792.555753998593,18816.140760065024
2024-11-01,16695.04977797951,17736.53564406951,16975.727540162523,17881.013297714762,19708.567090784647
2024-11-08,16780.05478819754,17884.281875351076,17233.93026101629,18022.853226547057,19633.78737877754
2024-11-15,16832.73182084808,18003.495506234678,17429.242587679437,18030.373196006574,19644.375382983057
2024-11-22,17120.2055481837,18315.051140033793,17753.418052499255,18342.26863701079,19815.11905991228
2024-11-29,17393.982071419687,18528.318487119926,18015.520154250447,18557.69896717308,20074.21084123423
2024-12-06,17567.200529781134,18726.312945462476,18230.002728622476,18541.33199114272,19997.108240237514
2024-12-13,16795.428114705304,17837.96885578119,17225.087421214168,17794.775740399487,19393.886741539216
2024-12-20,16880.794982048857,17939.125743770175,17300.463659159905,17908.154897591055,19965.144298400013
2024-12-27,16704.706587473516,17743.67499081235,17101.06122769408,17773.388920795973,19410.684918349612
2025-01-03,16466.3145541784,17577.991522846536,16875.768628554473,17477.17861480851,19571.70832511468
2025-01-10,16177.928905935752,17190.890818251333,16586.511529067164,17169.068539739208,19643.0933626179
2025-01-17,16169.943006991844,17193.041382602765,16808.69401593579,17615.246413365934,20244.3650361306
2025-01-24,16658.408443114015,17584.256279817062,17128.53056487601,17970.920597517947,20087.987407344746
2025-01-31,16850.0136116517,17725.72718701789,17638.5694526599,18425.743526027025,20130.485764112054
2025-02-07,17139.21296820923,18099.06537419331,18033.751793266052,18938.178432670622,20243.70135356214
2025-02-14,17282.465084257823,18083.514345409647,18105.47461516036,18769.039164478534,20265.283403793015
2025-02-21,17307.20652598306,18141.83996139514,18248.637601467795,18921.34346467762,19424.298655506995
2025-02-28,17760.569794187417,18504.036879165127,18479.721729056982,19090.756851332382,19014.59627591643
2025-03-07,17107.520602728804,17944.276290573303,17835.149903476165,18352.500051741474,18307.74342361692
2025-03-14,17318.43825693838,18108.970414917803,18080.91166827436,18620.61559323366,18774.887323395084
2025-03-21,17630.72508319994,18362.42356824716,18309.16588163248,18891.117432315023,18884.312502151388
2025-03-28,17265.926287003673,18309.262754932315,18297.669452735194,18825.101082203342,17872.63148283389
2025-04-04,16704.6622580475,17702.46907789778,17688.418368942148,18176.691219303448,17469.023852792816
2025-04-11,17092.400243288957,17977.87848222362,18022.18771019218,18463.801436639656,17529.958981531774
2025-04-18,17554.75279394457,18345.20552608803,18479.878755385485,19028.02094778103,18205.307523089334
2025-04-25,17813.21613126498,18588.00842919396,18665.829771956698,19329.788499758695,18597.58926582083
2025-05-02,18063.162454620844,18824.751947382538,19062.32598283899,19735.570766277626,18817.045594374205
2025-05-09,18063.1540400264,19042.924720907977,19318.301382884532,20126.416720137604,19662.888416616315
2025-05-16,18143.60372085698,19094.703836611585,19405.758374874513,20224.073043372795,19417.46190060147
2025-05-23,18258.627441083805,19107.20541457632,19515.574924662356,20361.82146828279,19649.235518065143
2025-05-30,18226.533689481355,19090.993316051117,19693.410717138428,20588.231943838917,19749.136233626257
2025-06-06,18382.69994018017,19250.21732620525,19894.70378582886,20636.62841881662,20105.45751122757
2025-06-13,18220.293766263017,18967.03856708394,19690.375993688915,20419.69552105463,19895.327777774444
2025-06-20,18388.60898041137,19071.196702166602,19787.873126708408,20509.110169326785,20436.099220131862
2025-06-27,18609.063029159912,19487.08694799529,19949.242280833416,20789.813176514133,20885.989434256062
2025-07-04,18587.95590982556,19466.483910406143,19911.823999840602,20742.06308162933,20902.022933324537
2025-07-11,18522.494969484524,19393.61677365035,19827.13994767146,20545.824542134294,20976.165757401042
2025-07-18,18719.809841411534,19481.272041275883,19895.13695506264,20414.774137581884,21189.25526777438
2025-07-25,18215.417815764034,19159.68406442259,19722.5861591964,20182.79782138116,21111.10149252327
